w,y,square_meters,contract_type,availability,description,other_features,conditions,floor,elevator,energy_efficiency_class,condominium_fees,zone
1,1500,70,rent,available,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",electric gate | optic fiber | video entryphone | security door | internal exposure | centralized tv system | furnished | shared garden | window frames in double glass / pvc,new,Ground floor,no,f,100,niguarda
1,1300,65,rent | 4+4,available,"2 (1 bedroom, 1 other), 1 bathroom, kitchenette",security door | internal exposure | balcony | full day concierge | centralized tv system | furnished | shared garden | window frames in double glass / pvc,excellent,4,yes,NA,150,udine
1,1280,65,rent | 4+4,NA,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",electric gate | optic fiber | security door | terrace | half-day concierge | centralized tv system | furnished | window frames in double glass / pvcdouble exposure,excellent,5,yes,g,120,frua
1,2000,56,rent | transitory,available,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",electric gate | optic fiber | video entryphone | security door | external exposure | full day concierge | centralized tv system | furnished | shared garden | window frames in glass / wood,excellent,2,yes,c,200,guastalla
1,2000,100,rent | 4+4,available,"3 (2 bedrooms, 1 other), 2 bathrooms, semi-habitable kitchen",electric gate | optic fiber | video entryphone | internal exposure | closet | balcony | half-day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in triple glass / metal,good condition,1,no,f,350,indipendenza
1,1200,50,rent | transitory,available from 01/06/2024,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",electric gate | optic fiber | video entryphone | security door | external exposure | centralized tv system | furnished | shared garden | window frames in triple glass / pvc,excellent,1,no,a,150,gorla
1,3300,70,rent | transitory,available from 21/04/2024,"3 (2 bedrooms, 1 other), 1 bathroom, open kitchen",optic fiber | security door | external exposure | half-day concierge | centralized tv system | furnished | window frames in glass / metal,excellent,3,no,c,0,montenero
1,4500,50,rent | transitory,available from 22/04/2024,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",optic fiber | security door | external exposure | half-day concierge | centralized tv system | furnished | window frames in glass / metal,excellent,2,no,c,0,carrobbio
1,4500,153,rent | 4+4,available,"5 (2 bedrooms, 3 others), 2 bathrooms, kitchen diner",optic fiber | security door | half-day concierge | centralized tv system | cellar | window frames in double glass / metal | double exposure,good condition,2,yes,NA,400,scala - manzoni
1,1300,50,rent,available,"2 (1 bedroom, 1 other), 1 bathroom, kitchen nook",attic | optic fiber | video entryphone | external exposure | balcony | full day concierge | centralized tv system | window frames in glass / wood,good condition,4,yes,a,135,vercelli - wagner
1,2800,90,rent | 4+4,available,"3 (2 bedrooms, 1 other), 2 bathrooms, semi-habitable kitchen",attic | optic fiber | security door | closet | terrace | full day concierge | single tv system | furnished | window frames in glass / wood | double exposure,excellent,6,yes,g,150,moscova
1,950,58,rent | transitory,available,"2 bedrooms, 1 bathroom, open kitchen",optic fiber | video entryphone | security door | closet | centralized tv system | partially furnished | shared garden | window frames in triple glass / pvcdouble exposure,excellent,Ground floor,no,a,80,quarto oggiaro
1,1500,55,rent | transitory,available from 01/06/2024,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",optic fiber | security door | external exposure | half-day concierge | centralized tv system | furnished | window frames in glass / metal,excellent,1,no,c,0,corso genova
1,1100,50,rent | transitory,available,"2 bedrooms, 1 bathroom, open kitchen",electric gate | optic fiber | half-day concierge | single tv system | furnished | window frames in triple glass / wood | double exposure,excellent,Ground floor,no,f,200,corvetto
1,1700,66,rent,available,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",partially furnished,excellent,6,yes,e,200,missori
1,3160,140,rent | 4+4,available from 31/07/2024,"4 bedrooms, 2 bathrooms, semi-habitable kitchen",optic fiber | security door | balcony | full day concierge | centralized tv system | furnished | window frames in glass / wood | double exposure,excellent,5,yes,f,415,bocconi
1,1250,45,rent | 4+4,available,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",security door | internal exposure | closet | terrace | half-day concierge | centralized tv system | furnished | window frames in double glass / pvc,new,2,no,d,150,zara
1,1850,55,rent | transitory,available,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",balcony | furnished,new,3,yes,b,0,lodi - brenta
1,2000,65,rent | 4+4,available,"3 (2 bedrooms, 1 other), 1 bathroom, open kitchen",half-day concierge | centralized tv system | partially furnished | window frames in double glass / pvcdouble exposure,excellent,5,yes,f,250,morgagni
1,1650,110,rent,available,"3 (2 bedrooms, 1 other), 2 bathrooms","reception | alarm system | kitchen | balcony | terrace | furnished | shared garden | window frames in double glass / wood | exposure north, west",excellent,3,yes,e,350,vigentino - fatima
1,1490,65,rent | transitory,available from 04/03/2024,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",optic fiber | security door | half-day concierge | tv system with satellite dish | partially furnished | window frames in double glass / pvcdouble exposure,excellent,6,yes,e,250,washington
1,900,55,rent | students (6 - 36 months),available,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",electric gate | optic fiber | video entryphone | security door | external exposure | closet | centralized tv system | furnished | window frames in double glass / metal,excellent,1,no,f,250,bocconi
1,2500,105,rent | 4+4,available,"3 (1 bedroom, 2 others), 2 bathrooms, kitchen diner",electric gate | optic fiber | security door | terrace | full day concierge | centralized tv system | partially furnished | window frames in double glass / wood | double exposure,good condition,5,yes,e,335,piave - tricolore
1,1300,80,rent,available,"3 (2 bedrooms, 1 other), 1 bathroom",alarm system | kitchen | terrace | furnished | window frames in glass / metal | exposure south,new,2,yes,NA,100,gratosoglio
1,2500,50,rent | transitory,available from 14/11/2023,"3 (2 bedrooms, 1 other), 1 bathroom, open kitchen",optic fiber | security door | external exposure | half-day concierge | centralized tv system | furnished | window frames in glass / metal,excellent,1,no,c,0,porta romana - medaglie d'oro
1,3750,150,rent | 4+4,available from 10/07/2023,"5 (3 bedrooms, 2 others), 2 bathrooms, kitchen diner",security door | closet | balcony | full day concierge | centralized tv system | partially furnished | window frames in double glass / pvcdouble exposure,good condition,5,yes,e,416,guastalla
1,4000,220,rent | 4+4,available from 12/11/2023,"5 (4 bedrooms, 1 other), 3 bathrooms, kitchen diner",electric gate | optic fiber | security door | closet | balcony | full day concierge | centralized tv system | only kitchen furnished | cellar | window frames in glass / wood | double exposure,good condition,2,yes,e,625,monte rosa - lotto
1,3200,170,rent | 4+4,available,"3 (2 bedrooms, 1 other), 3 bathrooms, open kitchen",video entryphone | alarm system | security door | external exposure | closet | full day concierge | centralized tv system | furnished | window frames in double glass / pvc,excellent,Mezzanine,yes,e,100,isola
1,1400,65,rent,available,"2 (1 bedroom, 1 other), 1 bathroom","kitchen | terrace | pool | furnished | shared garden | window frames in double glass / metal | exposure south, east",excellent,2,yes,a,100,quartiere adriano
1,1500,40,rent | 4+4,available from 31/03/2024,"1 bedroom, 1 bathroom, kitchenette",electric gate | optic fiber | internal exposure | balcony | full day concierge | centralized tv system | only kitchen furnished | window frames in double glass / wood,good condition,5,yes,g,58,duomo
1,1833,76,rent | open,available,"2 (1 bedroom, 1 other), 1 bathroom, kitchen nook",security door | internal exposure | half-day concierge | centralized tv system | cellar | window frames in double glass / pvc,excellent,Ground floor,yes,g,150,frua
1,1950,65,rent | transitory,available from 01/05/2024,"3 (2 bedrooms, 1 other), 1 bathroom, open kitchen",optic fiber | security door | external exposure | half-day concierge | centralized tv system | furnished | window frames in glass / metal,excellent,6,no,c,0,affori
1,1200,45,rent | transitory,available,"2 (1 bedroom, 1 other), 1 bathroom, kitchen nook",furnished,excellent,2,no,g,100,santa giulia
1,1666,85,rent | 4+4,available,"3 (2 bedrooms, 1 other), 2 bathrooms, kitchen diner",balcony | full day concierge,excellent,1,yes,NA,333,washington
1,1050,40,rent | 4+4,available,"1 room, 1 bathroom, kitchen nook",optic fiber | security door | external exposure | centralized tv system | window frames in triple glass / metal,excellent,3,yes,a,100,rovereto
1,2550,55,rent | transitory,available from 31/05/2024,"1 bedroom, 1 bathroom, open kitchen",optic fiber | security door | external exposure | half-day concierge | centralized tv system | furnished | window frames in glass / metal,excellent,1,no,c,0,arena
1,3500,135,rent,NA,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",electric gate | optic fiber | video entryphone | security door | balcony | terrace | full day concierge | centralized tv system | only kitchen furnished | window frames in double glass / metal | double exposure,excellent,4,yes,d,334,missori
1,1000,45,rent | 4+4,available,"2 (1 bedroom, 1 other), 1 bathroom, kitchen nook",video entryphone | security door | internal exposure | balcony | terrace | full day concierge | furnished | shared garden,good condition,2,yes,d,250,giambellino
1,1400,52,rent | transitory,NA,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",balcony | furnished,good condition,3,yes,g,200,monte rosa - lotto
1,1500,60,rent,NA,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",furnished,excellent,NA,no,NA,0,buenos aires
1,2000,53,rent | 4+4,available,"2 (1 bedroom, 1 other), 1 bathroom, semi-habitable kitchen",electric gate | optic fiber | video entryphone | alarm system | security door | closet | full day concierge | pool | centralized tv system | furnished | cellar | window frames in double glass / metal | double exposure,new,5,yes,a,NA,washington
1,2300,50,rent | transitory,available from 22/04/2024,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",optic fiber | security door | external exposure | half-day concierge | centralized tv system | furnished | window frames in glass / metal,excellent,1,no,c,0,città studi
1,4000,161,rent | 4+4,available,"4 (3 bedrooms, 1 other), 2 bathrooms, kitchen diner",electric gate | attic | optic fiber | security door | closet | terrace | full day concierge | centralized tv system | partially furnished | window frames in double glass / wood | double exposure,excellent,3,yes,b,170,scala - manzoni
1,1200,71,rent | 4+4,available,"2 rooms, 1 bathroom, kitchenette",electric gate | single tv system | furnished | double exposure,good condition,1,no,g,100,porta venezia
1,1920,60,rent | open,available,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",electric gate | optic fiber | video entryphone | security door | external exposure | full day concierge | centralized tv system | only kitchen furnished | cellar | window frames in double glass / pvc,excellent,1,yes,c,65,solari
1,1850,121,rent | 4+4,available,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",electric gate | optic fiber | video entryphone | security door | closet | balcony | full day concierge | centralized tv system | only kitchen furnished | cellar | shared garden | window frames in double glass / metal | double exposure,good condition,1,yes,g,450,maggiolina
1,2833,150,rent | 4+4,available,"5 (4 bedrooms, 1 other), 3 bathrooms, kitchen diner",optic fiber | security door | internal exposure | balcony | half-day concierge | centralized tv system | shared garden | window frames in double glass / wood,good condition,2,yes,g,633,washington
1,1300,45,rent | 4+4,available,"1 room, 1 bathroom, semi-habitable kitchen",electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | closet | balcony | terrace | full day concierge | centralized tv system | furnished | cellar | shared garden | window frames in triple glass / metal,new,1,yes,a,150,rubattino
1,3500,170,rent | 4+4,available,"5 (4 bedrooms, 1 other), 2 bathrooms, kitchen diner",fireplace | optic fiber | closet | balcony | full day concierge | centralized tv system | shared garden | window frames in double glass / metal | double exposure,NA,6,yes,e,350,città studi
1,800,40,rent | transitory,available from 01/04/2024,"1 bedroom, 1 bathroom, kitchenette",security door | external exposure | closet | full day concierge | centralized tv system | furnished | shared garden | window frames in glass / wood,good condition,6,yes,g,NA,lodi - brenta
1,1400,70,rent | 4+4,available,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",optic fiber | security door | closet | balcony | single tv system | furnished | window frames in double glass / wood | double exposure,excellent,2,no,NA,200,argonne - corsica
1,950,57,rent,available,"1 room, 1 bathroom",kitchen | terrace | furnished | shared garden | window frames in double glass / metal | exposure east,excellent,1,yes,c,100,quartiere adriano
1,2000,55,rent | transitory,NA,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",optic fiber | security door | internal exposure | closet | centralized tv system | furnished | shared garden | window frames in double glass / pvc,excellent,2,no,a,100,isola
1,3200,90,rent | transitory,available from 03/06/2024,"3 (2 bedrooms, 1 other), 2 bathrooms, open kitchen",optic fiber | security door | external exposure | half-day concierge | centralized tv system | furnished | window frames in glass / metal,excellent,2,no,c,0,navigli - darsena
1,1400,80,rent | 4+4,NA,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",security door | half-day concierge | single tv system | furnished | shared garden | window frames in double glass / pvcdouble exposure,excellent,1,yes,g,200,de angeli
1,1800,100,rent | open,NA,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen nook",alarm system | security door | external exposure | balcony | terrace | centralized tv system | cellar | window frames in double glass / pvc,excellent,2,yes,g,300,zara
1,2000,70,rent | 4+4,available,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",electric gate | optic fiber | video entryphone | security door | internal exposure | full day concierge | centralized tv system | only kitchen furnished | private garden | window frames in double glass / metal,new,Ground floor,no,b,50,washington
1,1000,40,rent,available,"2 (1 bedroom, 1 other), 1 bathroom",furnished | window frames in double glass / pvcexposure north,excellent,Ground floor,no,e,1000,casoretto
1,1700,71,rent | 4+4,NA,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",attic | optic fiber | balcony | full day concierge | centralized tv system | only kitchen furnished | cellar | window frames in double glass / pvc,excellent,3,yes,d,220,de angeli
1,900,55,rent,NA,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",security door | internal exposure | closet | centralized tv system | furnished | window frames in double glass / wood,good condition,1,no,g,NA,bovisa
1,700,36,rent,NA,"1 bedroom, 1 bathroom",kitchen | balcony | furnished | shared garden | window frames in double glass / metal,excellent,6,yes,NA,10,tre castelli - faenza
1,2040,95,rent | 4+4,available,"4 (3 bedrooms, 1 other), 2 bathrooms, open kitchen",optic fiber | security door | terrace | furnished | window frames in double glass / pvc,good condition,1,yes,g,360,città studi
1,1840,116,rent | 4+4,available from 01/11/2023,"4 (3 bedrooms, 1 other), 2 bathrooms, semi-habitable kitchen",optic fiber | video entryphone | security door | closet | balcony | half-day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / pvcdouble exposure,new,1,yes,a,310,cascina merlata - musocco
1,3166,73,rent | 4+4,available,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",full day concierge | only kitchen furnished | cellar,excellent,3,yes,c,171,cadorna - castello
1,1500,110,rent,NA,"3 (2 bedrooms, 1 other), 2 bathrooms, kitchen diner",balcony | terrace | full day concierge | furnished | private garden,good condition,1,yes,b,150,giambellino
1,1400,70,rent | 4+4,available,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",electric gate | optic fiber | video entryphone | centralized tv system | furnished | window frames in double glass / metal,NA,Mezzanine,no,f,0,dezza
1,1200,80,rent,available,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",electric gate | video entryphone | security door | closet | balcony | centralized tv system | furnished | cellar | shared garden | window frames in double glass / metal | double exposure,good condition,1,yes,d,200,viale ungheria - mecenate
1,1500,40,rent | transitory,available from 31/05/2024,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",optic fiber | security door | external exposure | half-day concierge | centralized tv system | furnished | window frames in glass / metal,excellent,1,no,c,0,solari
1,1850,124,rent | 3+2,available,"4 (3 bedrooms, 1 other), 2 bathrooms, kitchen diner",electric gate | optic fiber | security door | closet | balcony | half-day concierge | centralized tv system | partially furnished | shared garden | window frames in glass / wood,excellent,3,yes,NA,350,bande nere
1,1100,68,rent | transitory,available from 08/04/2024,"2 (1 bedroom, 1 other), 1 bathroom, kitchenette",optic fiber | video entryphone | alarm system | security door | external exposure | closet | terrace | full day concierge | centralized tv system | furnished | cellar | window frames in double glass / pvc,excellent,8,yes,NA,100,vigentino - fatima
1,1350,55,rent | 4+4,available,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",electric gate | optic fiber | video entryphone | security door | balcony | full day concierge | furnished | window frames in double glass / wood | double exposure,excellent,3,yes,c,150,corso genova
1,1590,105,rent | open,available,"2 (1 bedroom, 1 other), 3 bathrooms, kitchen diner",electric gate | optic fiber | security door | internal exposure | closet | centralized tv system | furnished | shared garden | window frames in glass / wood,excellent,1,no,f,150,ticinese
1,900,25,rent,available,"1 room, 1 bathroom",kitchen | balcony | furnished | window frames in double glass / pvcexposure south,good condition,3,yes,f,100,tre castelli - faenza
1,1700,60,rent | 4+4,available,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",attic | security door | internal exposure | closet | balcony | terrace | full day concierge | centralized tv system | furnished | window frames in double glass / wood,excellent,5,yes,f,300,vincenzo monti
1,3500,70,rent | open,available,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",electric gate | optic fiber | video entryphone | alarm system | security door | closet | terrace | full day concierge | centralized tv system | furnished | window frames in triple glass / wood | double exposure,excellent,1,yes,a,350,garibaldi - corso como
1,1400,50,rent | transitory,available,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",electric gate | optic fiber | video entryphone | security door | internal exposure | closet | balcony | full day concierge | centralized tv system | furnished | cellar | shared garden | window frames in double glass / pvc,excellent,Mezzanine,yes,a,200,sempione
1,1300,45,rent | transitory,available,"2 (1 bedroom, 1 other), 1 bathroom, semi-habitable kitchen",optic fiber | video entryphone | security door | external exposure | closet | terrace | half-day concierge | centralized tv system | furnished | window frames in glass / wood,excellent,2,yes,e,150,sempione
1,1300,56,rent,available,"2 (1 bedroom, 1 other), 1 bathroom",kitchen | balcony | furnished,NA,2,no,c,110,cenisio
1,2200,131,rent | 4+4,available,"4 (3 bedrooms, 1 other), 2 bathrooms, kitchen diner",optic fiber | video entryphone | security door | balcony | half-day concierge | centralized tv system | cellar | window frames in glass / pvcdouble exposure,excellent,2,yes,g,300,città studi
1,3000,50,rent | transitory,available from 01/05/2024,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",optic fiber | security door | external exposure | half-day concierge | centralized tv system | furnished | window frames in glass / metal,excellent,1,no,c,0,carrobbio
1,900,35,rent,available,"1 bedroom, 1 bathroom",reception | kitchen | balcony | furnished | exposure west,excellent,4,yes,g,300,crescenzago
1,1500,45,rent | transitory,available,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",electric gate | optic fiber | video entryphone | security door | closet | full day concierge | centralized tv system | furnished | shared garden | window frames in double glass / pvcdouble exposure,new,2,yes,c,150,cadore
1,1350,45,rent,available,"1 bedroom, 1 bathroom, kitchenette",electric gate | attic | security door | closet | half-day concierge | furnished | window frames in double glass / pvcdouble exposure,good condition,4,yes,NA,NA,porta venezia
1,1300,50,rent,available,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",optic fiber | video entryphone | internal exposure | balcony | full day concierge | centralized tv system | furnished | shared garden | window frames in double glass / wood,good condition,6,yes,g,117,farini
1,1100,45,rent | transitory,available,"1 room, 1 bathroom, open kitchen",electric gate | optic fiber | video entryphone | security door | internal exposure | balcony | centralized tv system | furnished | window frames in double glass / metal,good condition,3,yes,d,0,viale ungheria - mecenate
1,2083,120,rent | 4+4,available,"3 (2 bedrooms, 1 other), 2 bathrooms, kitchen diner",hydromassage | electric gate | security door | balcony | full day concierge | centralized tv system | partially furnished | window frames in double glass / wood | double exposure,excellent,3,yes,g,308,corso san gottardo
1,1100,55,rent,available,"2 (1 bedroom, 1 other), 1 bathroom",reception | terrace | furnished | shared garden | window frames in double glass / metal | exposure south,excellent,1,yes,a,220,gallaratese
1,1916,75,rent | 4+4,available,"3 (2 bedrooms, 1 other), 2 bathrooms, open kitchen",security door | balcony | full day concierge,good condition,1,no,f,123,morgagni
1,1200,62,rent | 4+4,available,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",electric gate | optic fiber | video entryphone | security door | external exposure | closet | full day concierge | centralized tv system | partially furnished | shared garden | window frames in glass / pvc,good condition,1,yes,g,100,piave - tricolore
1,980,50,rent | transitory,available from 01/03/2024,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",optic fiber | security door | external exposure | half-day concierge | centralized tv system | furnished | window frames in glass / metal,excellent,3,no,c,0,certosa
1,2500,50,rent | transitory,available,"2 (1 bedroom, 1 other), 1 bathroom, kitchen nook",electric gate | video entryphone | security door | internal exposure | closet | full day concierge | centralized tv system | furnished | window frames in double glass / pvc,excellent,3,yes,e,NA,duomo
1,2300,65,rent | transitory,available,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",electric gate | security door | external exposure | balcony | full day concierge | centralized tv system | furnished,excellent,7,yes,g,0,vercelli - wagner
1,750,40,rent,available,"1 bedroom, 1 bathroom, kitchen diner",balcony | furnished | cellar | shared garden,excellent,4,yes,e,NA,certosa
1,1400,58,rent | open,available,"2 (1 bedroom, 1 other), 1 bathroom, kitchen nook",electric gate | optic fiber | security door | internal exposure | closet | balcony | full day concierge | centralized tv system | furnished | shared garden | window frames in double glass / pvc,excellent,1,yes,g,140,corvetto
1,1100,46,rent,available,"2 (1 bedroom, 1 other), 1 bathroom, kitchen nook",optic fiber | video entryphone | security door | internal exposure | balcony | full day concierge | single tv system | furnished | window frames in double glass / pvc,excellent,4,yes,g,100,cermenate - abbiategrasso
1,1300,58,rent,available,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",optic fiber | security door | balcony | full day concierge | furnished,good condition,4,yes,e,140,corso genova
1,3700,75,rent | transitory,NA,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",optic fiber | security door | external exposure | half-day concierge | centralized tv system | furnished | window frames in glass / metal,excellent,1,no,c,0,buenos aires
1,2200,150,rent | 4+4,available,"4 (3 bedrooms, 1 other), 2 bathrooms",video entryphone,excellent,1,yes,e,400,san siro
1,1050,45,rent,available,"2 (1 bedroom, 1 other), 1 bathroom",reception | kitchen | balcony | furnished | shared garden | window frames in double glass / pvc,excellent,1,yes,NA,150,corvetto
1,1300,46,rent | transitory,available,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",balcony | furnished | cellar,new,1,yes,a,200,corvetto
1,2900,133,rent,available,"3 (2 bedrooms, 1 other), 2 bathrooms, kitchen diner",electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | closet | balcony | full day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / wood,excellent,1,yes,g,500,plebisciti - susa
1,1450,60,rent,NA,"2 (1 bedroom, 1 other), 1 bathroom, kitchen nook",electric gate | optic fiber | video entryphone | alarm system | security door | closet | balcony | single tv system | furnished | window frames in triple glass / pvcdouble exposure,excellent,1,yes,NA,250,qt8
1,1300,55,rent | 4+4,available from 07/05/2024,"1 bedroom, 1 bathroom, open kitchen",video entryphone | full day concierge | furnished,good condition,1,yes,g,200,montenero
1,700,25,rent,available,"1 room, 1 bathroom",furnished | window frames in double glass / wood | exposure east,excellent,3,yes,g,20,paolo sarpi
1,1150,61,rent | 4+4,available from 01/09/2024,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",electric gate | optic fiber | security door | balcony | terrace | centralized tv system | partially furnished | shared garden | window frames in double glass / pvcdouble exposure,good condition,4,yes,f,250,corso san gottardo
1,1100,58,rent,available,"2 (1 bedroom, 1 other), 1 bathroom","kitchen | balcony | furnished | window frames in glass / wood | exposure east, west",excellent,3,no,f,200,argonne - corsica
1,1700,30,rent,available,"1 bedroom, 1 bathroom","reception | kitchen | balcony | furnished | shared garden | window frames in double glass / pvcexposure south, east, west",excellent,2,yes,NA,200,lodi - brenta
1,1400,85,rent | transitory,available,"3 (2 bedrooms, 1 other), 1 bathroom, open kitchen",optic fiber | video entryphone | security door | closet | balcony | half-day concierge | centralized tv system | furnished | window frames in double glass / metal | double exposure,good condition,6,yes,NA,250,cadore
1,1500,65,rent | 4+4,available,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",security door | balcony | full day concierge | only kitchen furnished | cellar,good condition,2,yes,d,190,corso genova
1,3200,70,rent | transitory,available from 01/04/2024,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",optic fiber | security door | external exposure | half-day concierge | centralized tv system | furnished | window frames in glass / metal,excellent,8,no,c,0,corso genova
1,2500,101,rent | 4+4,available,"4 (3 bedrooms, 1 other), 2 bathrooms, kitchen diner",balcony | shared garden | double exposure,good condition,2,no,f,185,morgagni
1,1900,25,rent | transitory,available from 27/04/2024,"1 bedroom, 1 bathroom, open kitchen",optic fiber | security door | external exposure | half-day concierge | centralized tv system | furnished | window frames in glass / metal,excellent,3,no,c,0,sant'ambrogio
1,1500,65,rent,available,"2 bedrooms, 1 bathroom",reception | kitchen | balcony | furnished | shared garden | window frames in glass / wood | exposure east,excellent,Mezzanine,yes,f,150,quartiere feltre
1,1650,78,rent | transitory,available,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",electric gate | video entryphone | security door | internal exposure | balcony | full day concierge | centralized tv system | furnished | shared garden | window frames in glass / wood,good condition,1,yes,d,120,cenisio
1,1200,55,rent | transitory,NA,"2 (1 bedroom, 1 other), 1 bathroom, kitchenette",electric gate | optic fiber | video entryphone | security door | external exposure | single tv system | window frames in double glass / pvc,good condition,4,no,NA,125,porta venezia
1,1165,70,rent | transitory,available,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",electric gate | optic fiber | video entryphone | security door | external exposure | terrace | centralized tv system | furnished | window frames in double glass / metal,excellent,2,no,d,85,rogoredo
1,1700,65,rent,available,"3 (1 bedroom, 2 others), 1 bathroom",kitchen | terrace | furnished | shared garden | window frames in glass / wood | exposure north,new,1,yes,a,350,sempione
1,1050,38,rent | 4+4,available,"1 bedroom, 1 bathroom, kitchenette",optic fiber | security door | internal exposure | balcony | full day concierge | centralized tv system | furnished,excellent,4,yes,e,220,piave - tricolore
1,2000,39,rent | 4+4,available,"1 room, 1 bathroom, open kitchen",optic fiber | video entryphone | security door | external exposure | closet | full day concierge | pool | centralized tv system | furnished | cellar | shared garden | window frames in double glass / pvc,new,1,yes,a,300,city life
1,1350,64,rent,available,"2 (1 bedroom, 1 other), 1 bathroom",kitchen | balcony | furnished,excellent,6,yes,f,200,duomo
1,1500,66,rent,available from 01/06/2024,"1 bedroom, 1 bathroom, kitchenette",electric gate | optic fiber | video entryphone | internal exposure | full day concierge | centralized tv system | furnished | shared garden | window frames in double glass / pvc,excellent,Ground floor,yes,d,250,navigli - darsena
1,850,32,rent | transitory,available,"1 bedroom, 1 bathroom, kitchenette",electric gate | optic fiber | security door | external exposure | balcony | full day concierge | centralized tv system | furnished | cellar | window frames in double glass / pvc,excellent,2,yes,f,100,giambellino
1,1250,45,rent,available,"2 (1 bedroom, 1 other), 1 bathroom",kitchen | furnished | shared garden | window frames in glass / pvc,excellent,1,yes,g,150,cenisio
1,1450,70,rent | transitory,available from 01/08/2024,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",electric gate | video entryphone | security door | external exposure | balcony | terrace | single tv system | furnished | window frames in glass / wood,excellent,5,yes,g,150,ripamonti
1,1500,74,rent | 4+4,available,"2 bedrooms, 1 bathroom, kitchen diner",electric gate | security door | balcony | furnished | cellar | window frames in double glass / wood | double exposure,good condition,4,yes,f,160,ripamonti
1,4200,86,rent,available,"3 (2 bedrooms, 1 other), 2 bathrooms","kitchen | furnished | window frames in double glass / wood | exposure east, west",excellent,1,yes,NA,220,vincenzo monti
1,3000,45,rent | transitory,available,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",electric gate | optic fiber | video entryphone | alarm system | internal exposure | half-day concierge | centralized tv system | furnished | shared garden | window frames in double glass / pvc,excellent,Mezzanine,no,b,50,moscova
1,1250,72,rent | open,available,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",security door | terrace | full day concierge | furnished | private garden,excellent,4,yes,e,100,chiesa rossa
1,1500,70,rent | 4+4,NA,"2 (1 bedroom, 1 other), 1 bathroom, kitchenette",optic fiber | security door | external exposure | terrace | full day concierge | centralized tv system | furnished | shared garden | window frames in double glass / wood,excellent,6,yes,g,180,cascina dei pomi
1,1900,100,rent,available,"3 (2 bedrooms, 1 other), 2 bathrooms, open kitchen",optic fiber | security door | internal exposure | closet | full day concierge | centralized tv system | furnished | window frames in double glass / wood,excellent,1,no,f,200,vercelli - wagner
